Portal_Rank,Name,Position,Year,Height,Weight,Hometown,ON3 Rating,IND Comparison,NIL Value,Date Entered,NIL_numeric,Ratings_Rank,Team,OBPR,DBPR,BPR,Poss,Box_OBPR,Box_DBPR,Box_BPR,Adj_Team_Off_Eff,Adj_Team_Def_Eff,Adj_Team_Eff_Margin,DBPR_score,OBPR_score,BPR_score,COMP_score,composite_score,score_source,tier
341.0,Sebastian Mack,SG,JR,6-3,195.0,"Chicago, IL",90.0,94.58,,4/01/2026,,1849.0,Missouri,-0.52,0.41,-0.11,504.0,-1.98,0.03,-1.95,108.2,104.7,3.5,46.11872146118722,34.26573426573427,30.89887640449438,50.917431192660544,40.83131211070642,Full Metrics,Tier 1
,Jeremy Dent-Smith,SG,SR,6-1,195.0,"Gardena, CA",90.0,,,4/10/2026,,854.0,Stanford,1.79,0.56,2.35,1132.0,1.39,0.56,1.95,112.1,103.2,8.9,48.40182648401827,57.34265734265735,50.64205457463884,59.1743119266055,52.70095263319024,Full Metrics,Tier 1
,Jan Vide,SG,JR,6-6,200.0,Domzale,90.0,,,4/01/2026,,1086.0,Loyola Marymount,0.79,0.86,1.65,1261.0,-0.03,0.05,0.03,107.2,102.5,4.6,52.96803652968037,47.35264735264736,45.02407704654895,52.59938837920489,49.92010011622451,Full Metrics,Tier 1
,Mayar Wol,PF,JR,6-8,175.0,"Fuquay Varina, NC",90.0,86.88,Expected,,,1297.0,Bowling Green,1.31,-0.21,1.09,1054.0,1.08,0.03,1.1,107.2,106.0,1.3,36.68188736681888,52.54745254745255,40.52969502407704,47.55351681957186,43.04858461134187,Full Metrics,Tier 1
,Skylar Wicks,SG,JR,6-6,200.0,"Clearwater, FL",89.0,,,3/27/2026,,2237.0,Saint Francis (PA),0.09,-1.11,-1.01,1654.0,0.73,0.13,0.86,96.4,119.1,-22.7,22.983257229832574,40.359640359640366,23.67576243980738,10.85626911314985,25.646805836777073,Full Metrics,Tier 1
,Jaden Winston,SG,JR,6-0,160.0,"Hyattsville, MD",89.0,,,3/25/2026,,1302.0,Manhattan,1.62,-0.55,1.07,1884.0,2.12,0.07,2.19,101.8,117.4,-15.6,31.506849315068493,55.644355644355656,40.36918138041733,21.712538226299692,37.844545647144734,Full Metrics,Tier 1
,Jacoi Hutchinson,PG,JR,6-2,180.0,"Silver Spring, MD",89.0,86.03,,3/24/2026,,1362.0,Longwood,0.87,0.07,0.94,1480.0,1.11,-0.4,0.72,101.4,108.1,-6.7,40.94368340943684,48.15184815184816,39.32584269662921,35.32110091743119,41.5787690786773,Full Metrics,Tier 1
,Devin Dinkins,PG,SR,5-10,155.0,"Washington, DC",89.0,82.63,,3/24/2026,,2523.0,Manhattan,0.74,-2.52,-1.78,1797.0,0.32,-1.91,-1.6,100.6,118.2,-17.6,1.5220700152207058,46.85314685314686,17.495987158908505,18.654434250764524,18.619477288771378,Full Metrics,Tier 1
,Montavious Myrick,PF,SR,6-8,208.0,"Atlanta, GA",89.0,,,3/26/2026,,1335.0,Eastern Kentucky,1.24,-0.25,0.99,1468.0,0.89,0.1,1.0,107.8,115.9,-8.1,36.073059360730596,51.84815184815186,39.72712680577849,33.18042813455657,40.31375128766939,Full Metrics,Tier 1
,Okechukwu Okeke,PF,SR,6-9,235.0,"East Chicago, IN",89.0,,,3/11/2026,,2009.0,Albany,-0.09,-0.39,-0.48,1445.0,-0.2,0.73,0.53,103.1,115.3,-12.2,33.94216133942162,38.561438561438564,27.929373996789725,26.911314984709477,32.83979622319266,Full Metrics,Tier 1
,Brady Swartz,SG,FR,6-7,195.0,"Grand Rapids, MI",89.0,,,3/19/2026,,2338.0,Western Michigan,-0.39,-0.86,-1.25,846.0,0.35,-0.85,-0.5,102.5,112.1,-9.6,26.788432267884325,35.56443556443557,21.749598715890848,30.886850152905197,28.58942906437657,Full Metrics,Tier 1
,Cayden Ward,SG,SO,6-6,210.0,"Stockton, CA",89.0,,Expected,,,1902.0,Cal Poly,0.49,-0.7,-0.22,1774.0,0.65,-0.23,0.42,105.5,112.5,-7.0,29.22374429223745,44.35564435564436,30.016051364365968,34.862385321100916,34.0109768768444,Full Metrics,Tier 1
,Sean Logan,PF,SR,6-10,215.0,"Westfield, NJ",89.0,,,3/20/2026,,1117.0,Davidson,-1.77,3.33,1.56,630.0,-2.21,2.77,0.56,104.2,93.9,10.4,90.56316590563166,21.77822177822178,44.301765650080256,61.46788990825687,59.7503584230627,Full Metrics,Tier 1
,JaJuan Nicholls,PF,JR,6-8,220.0,"Scranton, PA",89.0,,,3/26/2026,,1720.0,Tennessee Tech,1.38,-1.21,0.17,870.0,2.37,-0.34,2.02,102.9,116.9,-14.0,21.461187214611876,53.24675324675325,33.146067415730336,24.159021406727827,32.14922989168831,Full Metrics,Tier 1
,Trevon Payton,SG,RS-JR,6-5,215.0,"Snellville, GA",89.0,,Expected,,,2498.0,Arkansas-Pine Blu!,0.57,-2.27,-1.7,1812.0,1.34,-0.95,0.39,100.1,118.1,-18.0,5.327245053272456,45.15484515484516,18.13804173354735,18.04281345565749,19.753639675078364,Full Metrics,Tier 1
